gene	COG_category
h1SMcG0000224	G
h1SMcG0000225	S
h1SMcG0000226	U
h1SMcG0000227	M
h1SMcG0000228	M
h1SMcG0000229	M
h1SMcG0000230	-
h1SMcG0000231	T
h1SMcG0000232	O
h1SMcG0000233	-
h1SMcG0000234	T
h1SMcG0000235	U
h1SMcG0000236	EPT
h1SMcG0000237	T
h1SMcG0000238	T
h1SMcG0000239	S
h1SMcG0000240	U
h1SMcG0000241	S
h1SMcG0000242	-
h1SMcG0000243	O
h1SMcG0000244	-
h1SMcG0000245	-
h1SMcG0000246	T
h1SMcG0000247	H
h1SMcG0000248	M
h1SMcG0000249	-
h1SMcG0000250	T
h1SMcG0000251	DTZ
h1SMcG0000252	M
h1SMcG0000253	U
h1SMcG0000254	-
h1SMcG0000255	J
h1SMcG0000256	S
h1SMcG0000257	S
h1SMcG0000258	O
h1SMcG0000259	-
h1SMcG0000260	-
h1SMcG0000261	-
h1SMcG0000262	-
h1SMcG0000263	O
h1SMcG0000264	D
h1SMcG0000265	V
h1SMcG0000266	-
h1SMcG0000267	K
h1SMcG0000268	S
h1SMcG0000269	K
h1SMcG0000270	-
h1SMcG0000271	-
h1SMcG0000272	-
h1SMcG0000273	-
h1SMcG0000274	-
h1SMcG0000275	-
h1SMcG0000276	O
h1SMcG0000277	S
h1SMcG0000278	-
h1SMcG0000279	Z
h1SMcG0000280	-
h1SMcG0000281	-
h1SMcG0000282	K
h1SMcG0000283	-
h1SMcG0000284	T
h1SMcG0000285	K
h1SMcG0000286	UY
h1SMcG0000287	K
h1SMcG0000288	S
h1SMcG0000289	S
h1SMcG0000290	-
h1SMcG0000291	-
h1SMcG0000292	K
h1SMcG0000293	S
h1SMcG0000294	F
h1SMcG0000295	Z
h1SMcG0000296	GT
h1SMcG0000297	-
h1SMcG0000298	S
h1SMcG0000299	Y
h1SMcG0000300	-
h1SMcG0000301	-
h1SMcG0000302	-
h1SMcG0000303	-
h1SMcG0000304	-
h1SMcG0000305	-
h1SMcG0000306	-
h1SMcG0000307	-
h1SMcG0000308	-
h1SMcG0000309	E
h1SMcG0000310	-
h1SMcG0000311	-
h1SMcG0000312	-
h1SMcG0000313	-
h1SMcG0000314	-
h1SMcG0000315	-
h1SMcG0000316	S
h1SMcG0000317	-
h1SMcG0000318	-
h1SMcG0000319	T
h1SMcG0000320	-
h1SMcG0000321	-
h1SMcG0000322	S
h1SMcG0000323	-
h1SMcG0000324	-
h1SMcG0000325	P
h1SMcG0000326	-
h1SMcG0000327	H
h1SMcG0000328	S
h1SMcG0000329	-
h1SMcG0000330	-
h1SMcG0000331	-
h1SMcG0000332	O
h1SMcG0000333	S
h1SMcG0000334	P
h1SMcG0000335	-
h1SMcG0000336	-
h1SMcG0000337	-
h1SMcG0000338	KLO
h1SMcG0000339	-
h1SMcG0000340	C
h1SMcG0000341	-
h1SMcG0000342	-
h1SMcG0000343	-
h1SMcG0000344	-
h1SMcG0000345	T
h1SMcG0000346	-
h1SMcG0000347	S
h1SMcG0000348	-
h1SMcG0000349	-
h1SMcG0000350	S
h1SMcG0000351	W
h1SMcG0000352	-
h1SMcG0000353	T
h1SMcG0000354	-
h1SMcG0000355	K
h1SMcG0000356	B
h1SMcG0000357	S
h1SMcG0000358	O
h1SMcG0000359	-
h1SMcG0000360	-
h1SMcG0000361	T
h1SMcG0000362	O
h1SMcG0000363	-
h1SMcG0000364	T
h1SMcG0000365	-
h1SMcG0000366	S
h1SMcG0000367	S
h1SMcG0000368	E
h1SMcG0000369	-
h1SMcG0000370	-
h1SMcG0000371	-
h1SMcG0000372	-
h1SMcG0000373	-
h1SMcG0000374	-
h1SMcG0000375	-
h1SMcG0000376	-
h1SMcG0000377	-
h1SMcG0000378	S
h1SMcG0000379	-
h1SMcG0000380	S
h1SMcG0000381	-
h1SMcG0000382	T
h1SMcG0000383	S
h1SMcG0000384	-
h1SMcG0000385	A
h1SMcG0000386	S
h1SMcG0000387	BD
h1SMcG0000388	S
h1SMcG0000389	-
h1SMcG0000390	-
h1SMcG0000391	S
h1SMcG0000392	-
h1SMcG0000393	-
h1SMcG0000394	-
h1SMcG0000395	S
h1SMcG0000396	P
h1SMcG0000397	T
h1SMcG0000398	Q
h1SMcG0000399	-
h1SMcG0000400	-
h1SMcG0000401	S
h1SMcG0000402	Q
h1SMcG0000403	S
h1SMcG0000404	S
h1SMcG0000405	A
h1SMcG0000406	S
h1SMcG0000407	-
h1SMcG0000408	-
h1SMcG0000409	-
h1SMcG0000410	-
h1SMcG0000411	-
h1SMcG0000412	T
h1SMcG0000413	T
h1SMcG0000414	-
h1SMcG0000415	-
h1SMcG0000416	-
h1SMcG0000417	-
h1SMcG0000418	-
h1SMcG0000419	L
h1SMcG0000420	-
h1SMcG0000421	D
h1SMcG0000422	U
h1SMcG0000423	S
h1SMcG0000424	S
h1SMcG0000425	S
h1SMcG0000426	P
h1SMcG0000427	U
h1SMcG0000428	O
h1SMcG0000429	O
h1SMcG0000430	T
h1SMcG0000431	S
h1SMcG0000432	P
h1SMcG0000433	BD
h1SMcG0000434	K
h1SMcG0000435	-
h1SMcG0000436	L
h1SMcG0000437	DZ
h1SMcG0000438	O
h1SMcG0000439	S
h1SMcG0000440	-
h1SMcG0000441	-
h1SMcG0000442	U
h1SMcG0000443	T
h1SMcG0000444	-
h1SMcG0000445	-
h1SMcG0000446	S
h1SMcG0000447	C
h1SMcG0000448	T
h1SMcG0000449	-
h1SMcG0000450	-
h1SMcG0000451	-
h1SMcG0000452	-
h1SMcG0000453	-
h1SMcG0000454	-
h1SMcG0000455	-
h1SMcG0000456	-
h1SMcG0000457	T
h1SMcG0000458	M
h1SMcG0000459	T
h1SMcG0000460	Y
h1SMcG0000461	O
h1SMcG0000462	EO
h1SMcG0000463	K
h1SMcG0000464	-
h1SMcG0000465	A
h1SMcG0000466	-
h1SMcG0000467	-
h1SMcG0000468	L
h1SMcG0000469	-
h1SMcG0000470	-
h1SMcG0000471	L
h1SMcG0000472	AJ
h1SMcG0000473	TZ
h1SMcG0000474	T
h1SMcG0000475	-
h1SMcG0000476	D
h1SMcG0000477	D
h1SMcG0000478	Z
h1SMcG0000479	Z
h1SMcG0000480	-
h1SMcG0000481	S
h1SMcG0000482	L
h1SMcG0000483	-
h1SMcG0000484	-
h1SMcG0000485	TZ
h1SMcG0000486	E
h1SMcG0000487	O
h1SMcG0000488	O
h1SMcG0000489	T
h1SMcG0000490	T
h1SMcG0000491	O
h1SMcG0000492	-
h1SMcG0000493	U
h1SMcG0000494	P
h1SMcG0000495	S
h1SMcG0000496	T
h1SMcG0000497	P
h1SMcG0000498	-
h1SMcG0000499	S
h1SMcG0000500	K
h1SMcG0000501	L
h1SMcG0000502	A
h1SMcG0000503	S
h1SMcG0000504	T
h1SMcG0000505	L
h1SMcG0000506	K
h1SMcG0000507	-
h1SMcG0000508	O
h1SMcG0000509	-
h1SMcG0000510	-
h1SMcG0000511	DT
h1SMcG0000512	-
h1SMcG0000513	O
h1SMcG0000514	S
h1SMcG0000515	Z
h1SMcG0000516	D
h1SMcG0000517	T
h1SMcG0000518	E
h1SMcG0000519	S
h1SMcG0000520	A
h1SMcG0000521	-
h1SMcG0000522	-
h1SMcG0000523	E
h1SMcG0000524	K
h1SMcG0000525	GO
h1SMcG0000526	O
h1SMcG0000527	S
h1SMcG0000528	K
h1SMcG0000529	-
h1SMcG0000530	-
h1SMcG0000531	S
h1SMcG0000532	JO
h1SMcG0000533	-
h1SMcG0000534	O
h1SMcG0000535	-
h1SMcG0000536	S
h1SMcG0000537	-
h1SMcG0000538	-
h1SMcG0000539	-
h1SMcG0000540	-
h1SMcG0000541	S
h1SMcG0000542	S
h1SMcG0000543	E
h1SMcG0000544	Z
h1SMcG0000545	-
h1SMcG0000546	-
h1SMcG0000547	-
h1SMcG0000548	K
h1SMcG0000549	T
h1SMcG0000550	PT
h1SMcG0000551	T
h1SMcG0000552	F
h1SMcG0000553	I
h1SMcG0000554	O
h1SMcG0000555	-
h1SMcG0000556	O
h1SMcG0000557	O
h1SMcG0000558	O
h1SMcG0000559	I
h1SMcG0000560	Q
h1SMcG0000561	J
h1SMcG0000562	A
h1SMcG0000563	U
h1SMcG0000564	P
h1SMcG0000565	P
h1SMcG0000566	D
h1SMcG0000567	S
h1SMcG0000568	F
h1SMcG0000569	P
h1SMcG0000570	O
h1SMcG0000571	-
h1SMcG0000572	S
h1SMcG0000573	-
h1SMcG0000574	S
h1SMcG0000575	-
h1SMcG0000576	U
h1SMcG0000577	O
h1SMcG0000578	E
h1SMcG0000579	O
h1SMcG0000580	A
h1SMcG0000581	S
h1SMcG0000582	S
h1SMcG0000583	T
h1SMcG0000584	C
h1SMcG0000585	J
h1SMcG0000586	K
h1SMcG0000587	T
h1SMcG0000588	S
h1SMcG0000589	-
h1SMcG0000590	A
h1SMcG0000591	-
h1SMcG0000592	A
h1SMcG0000593	-
h1SMcG0000594	L
h1SMcG0000595	-
h1SMcG0000596	E
h1SMcG0000597	-
h1SMcG0000598	-
h1SMcG0000599	-
h1SMcG0000600	-
h1SMcG0000601	D
h1SMcG0000602	-
h1SMcG0000603	-
h1SMcG0000604	-
h1SMcG0000605	-
h1SMcG0000606	-
h1SMcG0000607	-
h1SMcG0000608	-
h1SMcG0000609	A
h1SMcG0000610	-
h1SMcG0000611	-
h1SMcG0000612	T
h1SMcG0000613	O
h1SMcG0000614	-
h1SMcG0000615	T
h1SMcG0000616	G
h1SMcG0000617	T
h1SMcG0000618	T
h1SMcG0000619	-
h1SMcG0000620	A
h1SMcG0000621	A
h1SMcG0000622	O
h1SMcG0000623	T
h1SMcG0000624	S
h1SMcG0000625	-
h1SMcG0000626	T
h1SMcG0000627	D
h1SMcG0000628	C
h1SMcG0000629	S
h1SMcG0000630	-
h1SMcG0000631	-
h1SMcG0000632	-
h1SMcG0000633	B
h1SMcG0000634	U
h1SMcG0000635	S
h1SMcG0000636	L
h1SMcG0000637	J
h1SMcG0000638	-
h1SMcG0000639	E
h1SMcG0000640	J
h1SMcG0000641	O
h1SMcG0000642	S
h1SMcG0000643	J
h1SMcG0000644	-
h1SMcG0000645	-
h1SMcG0000646	E
h1SMcG0000647	L
h1SMcG0000648	E
h1SMcG0000649	-
h1SMcG0000650	I
h1SMcG0000651	I
h1SMcG0000652	E
h1SMcG0000653	E
h1SMcG0000654	KT
h1SMcG0000655	T
h1SMcG0000656	K
h1SMcG0000657	L
h1SMcG0000658	E
h1SMcG0000659	-
h1SMcG0000660	-
h1SMcG0000661	DTZ
h1SMcG0000662	U
h1SMcG0000663	-
h1SMcG0000664	-
h1SMcG0000665	O
h1SMcG0000666	OU
h1SMcG0000667	-
h1SMcG0000668	-
h1SMcG0000669	IT
h1SMcG0000670	-
h1SMcG0000671	-
h1SMcG0000672	-
h1SMcG0000673	-
h1SMcG0000674	A
h1SMcG0000675	DL
h1SMcG0000676	-
h1SMcG0000677	O
h1SMcG0000678	P
h1SMcG0000679	-
h1SMcG0000680	B
h1SMcG0000681	O
h1SMcG0000682	S
h1SMcG0000683	O
h1SMcG0000684	T
h1SMcG0000685	-
h1SMcG0000686	-
h1SMcG0000687	T
h1SMcG0000688	-
h1SMcG0000689	S
h1SMcG0000690	L
h1SMcG0000691	G
h1SMcG0000692	J
h1SMcG0000693	S
h1SMcG0000694	TV
h1SMcG0000695	W
h1SMcG0000696	L
h1SMcG0000697	S
h1SMcG0000698	-
h1SMcG0000699	T
h1SMcG0000700	-
h1SMcG0000701	A
h1SMcG0000702	TU
h1SMcG0000703	K
h1SMcG0000704	G
h1SMcG0000705	-
h1SMcG0000706	S
h1SMcG0000707	O
h1SMcG0000708	Z
h1SMcG0000709	P
h1SMcG0000710	A
h1SMcG0000711	T
h1SMcG0000712	-
h1SMcG0000713	-
h1SMcG0000714	A
h1SMcG0000715	A
h1SMcG0000716	T
h1SMcG0000717	-
h1SMcG0000718	S
h1SMcG0000719	I
h1SMcG0000720	-
h1SMcG0000721	S
h1SMcG0000722	E
h1SMcG0000723	U
h1SMcG0000724	G
h1SMcG0000725	G
h1SMcG0000726	S
h1SMcG0000727	P
h1SMcG0000728	-
h1SMcG0000729	S
h1SMcG0000730	T
h1SMcG0000731	-
h1SMcG0000732	-
h1SMcG0000733	A
h1SMcG0000734	A
h1SMcG0000735	U
h1SMcG0000736	G
h1SMcG0000737	-
h1SMcG0000738	U
h1SMcG0000739	-
h1SMcG0000740	-
h1SMcG0000741	-
h1SMcG0000742	S
h1SMcG0000743	AK
h1SMcG0000744	S
h1SMcG0000745	-
h1SMcG0000746	-
h1SMcG0000747	T
h1SMcG0000748	AL
h1SMcG0000749	T
h1SMcG0000750	JKL
h1SMcG0000751	T
h1SMcG0000752	O
h1SMcG0000753	-
h1SMcG0000754	P
h1SMcG0000755	-
h1SMcG0000756	-
h1SMcG0000757	S
h1SMcG0000758	-
h1SMcG0000759	I
h1SMcG0000760	-
h1SMcG0000761	K
h1SMcG0000762	Z
h1SMcG0000763	O
h1SMcG0000764	U
h1SMcG0000765	-
h1SMcG0000766	C
h1SMcG0000767	K
h1SMcG0000768	-
h1SMcG0000769	K
h1SMcG0000770	S
h1SMcG0000771	V
h1SMcG0000772	Z
h1SMcG0000773	S
h1SMcG0000774	-
h1SMcG0000775	D
h1SMcG0000776	L
h1SMcG0000777	-
h1SMcG0000778	-
h1SMcG0000779	-
h1SMcG0000780	H
h1SMcG0000781	-
h1SMcG0000782	S
h1SMcG0000783	-
h1SMcG0000784	-
h1SMcG0000785	A
h1SMcG0000786	-
h1SMcG0000787	T
h1SMcG0000788	T
h1SMcG0000789	Z
h1SMcG0000790	S
h1SMcG0000791	-
h1SMcG0000792	S
h1SMcG0000793	-
h1SMcG0000794	M
h1SMcG0000795	-
h1SMcG0000796	P
h1SMcG0000797	-
h1SMcG0000798	-
h1SMcG0000799	O
h1SMcG0000800	-
h1SMcG0000801	J
h1SMcG0000802	DZ
h1SMcG0000803	K
h1SMcG0000804	T
h1SMcG0000805	Z
h1SMcG0000806	Z
h1SMcG0000807	Z
h1SMcG0000808	T
h1SMcG0000809	T
h1SMcG0000810	S
h1SMcG0000811	M
h1SMcG0000812	T
h1SMcG0000813	U
h1SMcG0000814	U
h1SMcG0000815	T
h1SMcG0000816	-
h1SMcG0000817	-
h1SMcG0000818	-
h1SMcG0000819	-
h1SMcG0000820	-
h1SMcG0000821	-
h1SMcG0000822	-
h1SMcG0000823	-
h1SMcG0000824	U
h1SMcG0000825	N
h1SMcG0000826	S
h1SMcG0000827	DZ
h1SMcG0000828	-
h1SMcG0000829	-
h1SMcG0000830	E
h1SMcG0000831	-
h1SMcG0000832	T
h1SMcG0000833	-
h1SMcG0000834	S
h1SMcG0000835	-
h1SMcG0000836	-
h1SMcG0000837	S
h1SMcG0000838	-
h1SMcG0000839	-
h1SMcG0000840	-
h1SMcG0000841	T
h1SMcG0000842	A
h1SMcG0000843	E
h1SMcG0000844	-
h1SMcG0000845	-
h1SMcG0000846	O
h1SMcG0000847	-
h1SMcG0000848	DK
h1SMcG0000849	P
h1SMcG0000850	J
h1SMcG0000851	O
h1SMcG0000852	T
h1SMcG0000853	C
h1SMcG0000854	-
h1SMcG0000855	U
h1SMcG0000856	K
h1SMcG0000857	-
h1SMcG0000858	D
h1SMcG0000859	BT
h1SMcG0000860	P
h1SMcG0000861	-
h1SMcG0000862	-
h1SMcG0000863	I
h1SMcG0000864	K
h1SMcG0000865	I
h1SMcG0000866	O
h1SMcG0000867	-
h1SMcG0000868	S
h1SMcG0000869	-
h1SMcG0000870	G
h1SMcG0000871	S
h1SMcG0000872	T
h1SMcG0000873	M
h1SMcG0000874	-
h1SMcG0000875	A
h1SMcG0000876	-
h1SMcG0000877	J
h1SMcG0000878	O
h1SMcG0000879	T
h1SMcG0000880	T
h1SMcG0000881	O
h1SMcG0000882	S
h1SMcG0000883	E
h1SMcG0000884	M
h1SMcG0000885	S
h1SMcG0000886	T
h1SMcG0000887	D
h1SMcG0000888	Z
h1SMcG0000889	K
h1SMcG0000890	I
h1SMcG0000891	C
h1SMcG0000892	-
h1SMcG0000893	Z
h1SMcG0000894	T
h1SMcG0000895	-
h1SMcG0000896	J
h1SMcG0000897	B
h1SMcG0000898	S
h1SMcG0000899	-
h1SMcG0000900	-
h1SMcG0000901	T
h1SMcG0000902	A
h1SMcG0000903	-
h1SMcG0000904	O
h1SMcG0000905	-
h1SMcG0000906	O
h1SMcG0000907	S
h1SMcG0000908	S
h1SMcG0000909	E
h1SMcG0000910	T
h1SMcG0000911	-
h1SMcG0000912	S
h1SMcG0000913	TZ
h1SMcG0000914	S
h1SMcG0000915	G
h1SMcG0000916	G
h1SMcG0000917	S
h1SMcG0000918	C
h1SMcG0000919	P
h1SMcG0000920	B
h1SMcG0000921	C
h1SMcG0000922	T
h1SMcG0000923	A
h1SMcG0000924	J
h1SMcG0000925	S
h1SMcG0000926	O
h1SMcG0000927	-
h1SMcG0000928	P
h1SMcG0000929	B
h1SMcG0000930	S
h1SMcG0000931	-
h1SMcG0000932	M
h1SMcG0000933	S
h1SMcG0000934	S
h1SMcG0000935	UY
h1SMcG0000936	P
h1SMcG0000937	S
h1SMcG0000938	G
h1SMcG0000939	A
h1SMcG0000940	A
h1SMcG0000941	K
h1SMcG0000942	Z
h1SMcG0000943	-
h1SMcG0000944	S
h1SMcG0000945	O
h1SMcG0000946	E
h1SMcG0000947	-
h1SMcG0000948	-
h1SMcG0000949	-
h1SMcG0000950	-
h1SMcG0000951	J
h1SMcG0000952	-
h1SMcG0000953	-
h1SMcG0000954	BK
h1SMcG0000955	-
h1SMcG0000956	-
h1SMcG0000957	DZ
h1SMcG0000958	O
h1SMcG0000959	S
h1SMcG0000960	S
h1SMcG0000961	J
h1SMcG0000962	-
h1SMcG0000963	O
h1SMcG0000964	-
h1SMcG0000965	-
h1SMcG0000966	-
h1SMcG0000967	O
h1SMcG0000968	A
h1SMcG0000969	-
h1SMcG0000970	-
h1SMcG0000971	K
h1SMcG0000972	-
h1SMcG0000973	-
h1SMcG0000974	-
h1SMcG0000975	-
h1SMcG0000976	T
h1SMcG0000977	S
h1SMcG0000978	B
h1SMcG0000979	T
h1SMcG0000980	-
h1SMcG0000981	S
h1SMcG0000982	PT
h1SMcG0000983	-
h1SMcG0000984	-
h1SMcG0000985	-
h1SMcG0000986	E
h1SMcG0000987	-
h1SMcG0000988	TZ
h1SMcG0000989	O
h1SMcG0000990	-
h1SMcG0000991	K
h1SMcG0000992	U
h1SMcG0000993	-
h1SMcG0000994	A
h1SMcG0000995	A
h1SMcG0000996	-
h1SMcG0000997	-
h1SMcG0000998	Z
h1SMcG0000999	U
h1SMcG0001000	-
h1SMcG0001001	-
h1SMcG0001002	T
h1SMcG0001003	-
h1SMcG0001004	S
h1SMcG0001005	S
h1SMcG0001006	S
h1SMcG0001007	U
h1SMcG0001008	-
h1SMcG0001009	-
h1SMcG0001010	T
h1SMcG0001011	T
h1SMcG0001012	-
h1SMcG0001013	-
h1SMcG0001014	T
h1SMcG0001015	T
h1SMcG0001016	S
h1SMcG0001017	I
h1SMcG0001018	I
h1SMcG0001019	T
h1SMcG0001020	K
h1SMcG0001021	S
h1SMcG0001022	P
h1SMcG0001023	-
h1SMcG0001024	-
h1SMcG0001025	V
h1SMcG0001026	-
h1SMcG0001027	-
h1SMcG0001028	G
h1SMcG0001029	P
h1SMcG0001030	T
h1SMcG0001031	O
h1SMcG0001032	S
h1SMcG0001033	O
h1SMcG0001034	T
h1SMcG0001035	A
h1SMcG0001036	S
h1SMcG0001037	S
h1SMcG0001038	O
h1SMcG0001039	O
h1SMcG0001040	U
h1SMcG0001041	M
h1SMcG0001042	F
h1SMcG0001043	T
h1SMcG0001044	-
h1SMcG0001045	-
h1SMcG0001046	T
h1SMcG0001047	BD
h1SMcG0001048	-
h1SMcG0001049	-
h1SMcG0001050	K
h1SMcG0001051	O
h1SMcG0001052	S
h1SMcG0001053	S
h1SMcG0001054	T
h1SMcG0001055	K
h1SMcG0001056	ET
h1SMcG0001057	Z
h1SMcG0001058	T
h1SMcG0001059	-
h1SMcG0001060	K
h1SMcG0001061	S
h1SMcG0001062	V
h1SMcG0001063	-
h1SMcG0001064	-
h1SMcG0001065	-
h1SMcG0001066	A
h1SMcG0001067	G
h1SMcG0001068	S
h1SMcG0001069	L
h1SMcG0001070	F
h1SMcG0001071	E
h1SMcG0001072	-
h1SMcG0001073	-
h1SMcG0001074	P
h1SMcG0001075	-
h1SMcG0001076	-
h1SMcG0001077	E
h1SMcG0001078	G
h1SMcG0001079	-
h1SMcG0001080	-
h1SMcG0001081	S
h1SMcG0001082	W
h1SMcG0001083	P
h1SMcG0001084	K
h1SMcG0001085	Q
h1SMcG0001086	T
h1SMcG0001087	J
h1SMcG0001088	S
h1SMcG0001089	S
h1SMcG0001090	U
h1SMcG0001091	-
h1SMcG0001092	I
h1SMcG0001093	-
h1SMcG0001094	-
h1SMcG0001095	-
h1SMcG0001096	S
h1SMcG0001097	I
h1SMcG0001098	K
h1SMcG0001099	DTZ
h1SMcG0001100	L
h1SMcG0001101	J
h1SMcG0001102	D
h1SMcG0001103	-
h1SMcG0001104	-
h1SMcG0001105	-
h1SMcG0001106	-
h1SMcG0001107	-
h1SMcG0001108	S
h1SMcG0001109	T
h1SMcG0001110	F
h1SMcG0001111	-
h1SMcG0001112	P
h1SMcG0001113	P
h1SMcG0001114	T
h1SMcG0001115	A
h1SMcG0001116	P
h1SMcG0001117	S
h1SMcG0001118	O
h1SMcG0001119	U
h1SMcG0001120	-
h1SMcG0001121	E
h1SMcG0001122	Q
h1SMcG0001123	-
h1SMcG0001124	T
h1SMcG0001125	S
h1SMcG0001126	-
h1SMcG0001127	O
h1SMcG0001128	-
h1SMcG0001129	E
h1SMcG0001130	-
h1SMcG0001131	-
h1SMcG0001132	-
h1SMcG0001133	T
h1SMcG0001134	K
h1SMcG0001135	-
h1SMcG0001136	-
h1SMcG0001137	S
h1SMcG0001138	-
h1SMcG0001139	-
h1SMcG0001140	J
h1SMcG0001141	E
h1SMcG0001142	J
h1SMcG0001143	-
h1SMcG0001144	S
h1SMcG0001145	-
h1SMcG0001146	-
h1SMcG0001147	S
h1SMcG0001148	-
h1SMcG0001149	-
h1SMcG0001150	-
h1SMcG0001151	K
h1SMcG0001152	I
h1SMcG0001153	-
h1SMcG0001154	E
h1SMcG0001155	P
h1SMcG0001156	S
h1SMcG0001157	O
