chrom	start	end	summit	depth
chr1_h1	769801	770625	770054	31
chr1_h1	771813	772688	772299	36
chr1_h1	773131	773920	773254	6
chr1_h1	774393	775271	774842	11
chr1_h1	788854	789753	788945	10
chr1_h1	804464	805324	804933	22
chr1_h1	807964	808810	808289	16
chr1_h1	821051	822194	821755	301
chr1_h1	825187	825970	825441	11
chr1_h1	877728	878368	878032	14
chr1_h1	879031	879823	879472	11
chr1_h1	932690	933551	933166	20
chr1_h1	934075	934952	934567	13
chr1_h1	937578	938420	938154	50
chr1_h1	939080	940023	939576	10
chr1_h1	975503	976431	976069	21
chr1_h1	987958	988970	988290	24
chr1_h1	1012783	1013652	1013176	31
chr1_h1	1030606	1031581	1031083	12
chr1_h1	1031747	1032758	1032454	10
chr1_h1	1033734	1034661	1033770	12
chr1_h1	1036523	1037433	1037122	6
chr1_h1	1047511	1048379	1048197	21
chr1_h1	1059623	1060504	1060157	32
chr1_h1	1061071	1061641	1061409	6
chr1_h1	1061801	1062728	1062319	8
chr1_h1	1065499	1066540	1065986	13
chr1_h1	1072349	1073336	1072865	8
chr1_h1	1079730	1080421	1080186	17
chr1_h1	1082797	1083619	1083289	16
chr1_h1	1126036	1126968	1126151	7
chr1_h1	1131552	1132441	1132038	12
chr1_h1	1136163	1136860	1136549	15
chr1_h1	1137194	1138024	1137678	350
chr1_h1	1141317	1142219	1141808	14
chr1_h1	1144799	1145731	1145432	13
chr1_h1	1364316	1365226	1364626	14
chr1_h1	1368039	1368943	1368202	9
chr1_h1	1454661	1455534	1455256	7
chr1_h1	1486483	1487450	1486841	18
chr1_h1	1495601	1496554	1496105	6
chr1_h1	1500500	1500980	1500713	15
chr1_h1	1501099	1501828	1501609	26
chr1_h1	1513294	1513970	1513558	20
chr1_h1	1514097	1514833	1514436	37
chr1_h1	1520185	1521309	1520692	17
chr1_h1	1530677	1531606	1531195	87
chr1_h1	1555580	1556523	1555665	16
chr1_h1	1556633	1557532	1557436	13
chr1_h1	1560314	1560852	1560400	13
chr1_h1	1614794	1615562	1615559	10
chr1_h1	1615928	1616948	1616313	13
chr1_h1	1618112	1619045	1618143	9
chr1_h1	1628403	1629356	1628878	8
chr1_h1	1632334	1633234	1633060	12
chr1_h1	1700814	1701677	1701230	94
chr1_h1	1703339	1704202	1704108	303
chr1_h1	1722787	1723635	1723153	12
chr1_h1	1724491	1725374	1724770	10
chr1_h1	1730420	1731233	1730599	11
chr1_h1	1734388	1735304	1734823	13
chr1_h1	1738007	1738556	1738415	9
chr1_h1	1738622	1739319	1738841	11
chr1_h1	1743596	1744207	1743811	105
chr1_h1	1746282	1747139	1746621	13
chr1_h1	1764930	1765853	1765440	13
chr1_h1	1769060	1770072	1769710	26
chr1_h1	1772489	1773530	1773085	5
chr1_h1	1795272	1796024	1795506	7
chr1_h1	1818669	1819380	1819099	10
chr1_h1	1823633	1824562	1824102	125
chr1_h1	1826691	1827610	1827175	86
chr1_h1	1827649	1828423	1828023	77
chr1_h1	1828552	1829359	1828600	112
chr1_h1	1866464	1867400	1866940	10
chr1_h1	1872965	1873830	1873320	10
chr1_h1	1875642	1876647	1876177	7
chr1_h1	1878035	1879111	1878296	12
chr1_h1	1924461	1925679	1924954	12
chr1_h1	1928248	1929167	1928640	12
chr1_h1	2192355	2193319	2192695	24
chr1_h1	2197666	2198472	2198275	8
chr1_h1	2198728	2199768	2199342	10
chr1_h1	2239847	2240482	2240210	21
chr1_h1	2240593	2241208	2240928	35
chr1_h1	2241402	2242183	2241813	17
chr1_h1	2248988	2249876	2249499	39
chr1_h1	2250528	2251353	2250806	10
chr1_h1	2258270	2258998	2258664	15
chr1_h1	2259083	2259701	2259294	15
chr1_h1	2269133	2269976	2269486	16
chr1_h1	2302451	2303097	2302797	12
chr1_h1	2310042	2310970	2310529	13
chr1_h1	2317301	2318133	2317493	12
chr1_h1	2323464	2324387	2324100	8
chr1_h1	2324428	2325238	2324869	13
chr1_h1	2326962	2327927	2327513	15
chr1_h1	2333935	2334761	2334462	21
chr1_h1	2334916	2335759	2335446	9
chr1_h1	2385902	2386994	2386639	14
chr1_h1	2404005	2404523	2404386	7
chr1_h1	2409064	2409877	2409243	10
chr1_h1	2413366	2414294	2414009	15
chr1_h1	2418317	2419165	2418892	4
chr1_h1	2442625	2443324	2443061	14
chr1_h1	2449191	2450102	2449627	13
chr1_h1	2455978	2456894	2456438	140
chr1_h1	2459619	2460362	2459836	9
chr1_h1	2494379	2495253	2494964	9
chr1_h1	2497041	2497886	2497567	8
chr1_h1	2506331	2507245	2506887	36
chr1_h1	2520784	2521742	2521324	11
chr1_h1	2533940	2534327	2534210	9
chr1_h1	2541844	2542480	2542192	9
chr1_h1	2544084	2544926	2544086	14
chr1_h1	2545339	2546269	2545826	10
chr1_h1	2547743	2548603	2548334	5
chr1_h1	2552123	2552877	2552552	10
chr1_h1	2552992	2553587	2553299	9
chr1_h1	2554768	2555606	2554882	13
chr1_h1	2556855	2557671	2557410	14
chr1_h1	2564176	2565122	2564509	97
chr1_h1	2572092	2573028	2572286	8
chr1_h1	2587003	2587762	2587665	16
chr1_h1	2590602	2591497	2591030	1007
chr1_h1	2595105	2596287	2595929	28
chr1_h1	2597535	2598456	2597934	36
chr1_h1	2600408	2601301	2600661	23
chr1_h1	2603291	2604132	2603660	17
chr1_h1	2607799	2608696	2608143	26
chr1_h1	2617261	2618302	2617826	26
chr1_h1	2623161	2623954	2623699	16
chr1_h1	2627200	2628022	2627756	77
chr1_h1	2628469	2629159	2628560	48
chr1_h1	2666363	2667247	2666835	15
chr1_h1	2676417	2677294	2677022	9
chr1_h1	2679696	2680782	2680143	9
chr1_h1	2749098	2750170	2750073	15
chr1_h1	2751203	2752388	2751956	24
chr1_h1	2756205	2757205	2756600	17
chr1_h1	2773489	2774323	2773974	8
chr1_h1	2785483	2786268	2785905	14
chr1_h1	2792813	2793568	2792994	24
chr1_h1	2797021	2797892	2797545	13
chr1_h1	2798381	2799329	2798803	14
chr1_h1	2808609	2809466	2808981	12
chr1_h1	2830203	2830989	2830881	11
chr1_h1	2832443	2833305	2832864	18
chr1_h1	2836001	2836788	2836320	82
chr1_h1	2839756	2840511	2840434	9
chr1_h1	2841255	2842070	2841468	17
chr1_h1	2850989	2851891	2851808	35
chr1_h1	2852258	2853183	2853063	103
chr1_h1	2853533	2854286	2853702	73
chr1_h1	2857688	2858585	2858146	60
chr1_h1	2865611	2866508	2866134	51
chr1_h1	2867492	2868476	2868143	63
chr1_h1	2869519	2870488	2870182	71
chr1_h1	2872098	2872979	2872664	31
chr1_h1	2874199	2875064	2874535	34
chr1_h1	2878665	2879538	2879262	77
chr1_h1	2883829	2884536	2884334	44
chr1_h1	2884659	2885273	2885073	59
chr1_h1	2886674	2887720	2887293	78
chr1_h1	2888024	2889007	2888448	95
chr1_h1	2889184	2889935	2889431	50
chr1_h1	2892866	2893566	2893157	97
chr1_h1	2893689	2894377	2893899	103
chr1_h1	2899827	2900523	2900082	44
chr1_h1	2920757	2921893	2921333	70
chr1_h1	2929734	2930544	2930295	65
chr1_h1	2932220	2933042	2932720	49
chr1_h1	2935085	2935986	2935824	41
chr1_h1	2939207	2940009	2939343	21
chr1_h1	2940653	2941554	2941116	46
chr1_h1	2952386	2953289	2952994	94
chr1_h1	2955371	2956231	2955904	53
chr1_h1	2964424	2965348	2964942	51
chr1_h1	2978252	2979108	2978591	73
chr1_h1	2982037	2982816	2982207	115
chr1_h1	2987587	2988584	2987826	91
chr1_h1	2990990	2992108	2991606	89
chr1_h1	2992187	2992851	2992514	70
chr1_h1	2996333	2997299	2996836	25
chr1_h1	2997379	2998166	2997651	27
chr1_h1	3000803	3001696	3001296	232
chr1_h1	3003931	3004847	3004286	25
chr1_h1	3006493	3007432	3006987	48
chr1_h1	3012996	3013852	3013380	41
chr1_h1	3014326	3015178	3015154	10
chr1_h1	3019821	3020649	3020364	70
chr1_h1	3020918	3021572	3021033	56
chr1_h1	3021608	3022540	3021932	24
chr1_h1	3023642	3024565	3024152	46
chr1_h1	3028078	3028986	3028858	31
chr1_h1	3032652	3033156	3032877	81
chr1_h1	3033291	3034085	3033804	162
chr1_h1	3049223	3050066	3049994	45
chr1_h1	3050190	3051043	3050756	27
chr1_h1	3052759	3053565	3053021	65
chr1_h1	3058314	3059274	3058569	45
chr1_h1	3064464	3065274	3064906	37
chr1_h1	3065679	3066590	3066258	31
chr1_h1	3068155	3069044	3069039	38
chr1_h1	3069213	3069870	3069303	43
chr1_h1	3076379	3077323	3076620	58
chr1_h1	3135163	3136241	3135434	48
chr1_h1	3137086	3138117	3137715	68
chr1_h1	3147601	3148467	3148027	16
chr1_h1	3152248	3153139	3152653	50
chr1_h1	3158366	3159500	3158589	14
chr1_h1	3176518	3177171	3176831	26
chr1_h1	3177194	3177910	3177479	20
chr1_h1	3218436	3219517	3218897	12
chr1_h1	3224881	3225825	3225320	13
chr1_h1	3233151	3233710	3233479	6
chr1_h1	3237697	3238625	3237863	14
chr1_h1	3260747	3261709	3261521	16
chr1_h1	3274356	3275065	3274469	60
chr1_h1	3276525	3277246	3277045	297
chr1_h1	3277368	3278245	3277715	184
chr1_h1	3302223	3303094	3302723	11
chr1_h1	3303878	3304792	3304333	12
chr1_h1	3305733	3306522	3306067	8
chr1_h1	3307295	3308213	3307856	12
chr1_h1	3311667	3312348	3312045	9
chr1_h1	3372454	3373315	3372886	12
chr1_h1	3379494	3380363	3380079	9
chr1_h1	3382279	3383084	3382651	10
chr1_h1	3383222	3384091	3383252	8
chr1_h1	3387033	3387963	3387388	16
chr1_h1	3390811	3391500	3391005	10
chr1_h1	3430512	3431218	3430858	27
chr1_h1	3431328	3432059	3431693	46
chr1_h1	3437475	3438376	3438124	15
chr1_h1	3472841	3473825	3473315	10
chr1_h1	3475639	3476520	3476127	20
chr1_h1	3492116	3493315	3492957	8
chr1_h1	3510358	3511285	3510788	147
chr1_h1	3521779	3522685	3522231	7
chr1_h1	3562815	3563693	3563235	25
chr1_h1	3575964	3576847	3576621	11
chr1_h1	3578726	3579717	3579259	12
chr1_h1	3580331	3581165	3580686	11
chr1_h1	3582159	3583133	3582646	9
chr1_h1	3583900	3585010	3584192	21
chr1_h1	3587578	3588494	3588168	255
chr1_h1	3595559	3596469	3596079	23
chr1_h1	3597996	3598914	3598479	21
chr1_h1	3618793	3619683	3619454	8
chr1_h1	3620301	3621221	3620675	21
chr1_h1	3621723	3622659	3622023	23
chr1_h1	3623097	3623939	3623546	7
chr1_h1	3625283	3626222	3625929	5
chr1_h1	3629929	3630781	3630484	58
chr1_h1	3639177	3640094	3639444	9
chr1_h1	3641599	3642486	3642094	10
chr1_h1	3659398	3660141	3660018	13
chr1_h1	3660655	3661602	3661137	13
chr1_h1	3678354	3678922	3678402	67
chr1_h1	3678950	3679498	3679207	101
chr1_h1	3703359	3703730	3703553	24
chr1_h1	3708234	3709228	3708699	32
chr1_h1	3709845	3710726	3710472	24
chr1_h1	3716631	3717589	3716809	21
chr1_h1	3728755	3729678	3729170	10
chr1_h1	3730937	3731785	3731549	26
chr1_h1	3731923	3732812	3732201	18
chr1_h1	3736553	3737367	3737004	14
chr1_h1	3747422	3748440	3747942	19
chr1_h1	3755405	3756084	3755893	22
chr1_h1	3760278	3761147	3760486	19
chr1_h1	3762762	3763655	3763358	22
chr1_h1	3771385	3772280	3771751	20
chr1_h1	3774977	3775821	3775506	32
chr1_h1	3796949	3797855	3797444	22
chr1_h1	3810901	3811754	3811144	18
chr1_h1	3815745	3816673	3816384	10
chr1_h1	3857554	3858492	3858104	20
chr1_h1	3870015	3870960	3870115	16
chr1_h1	3944953	3946278	3945224	8
chr1_h1	4003029	4003819	4003441	7
chr1_h1	4004140	4004910	4004612	7
chr1_h1	4041241	4042181	4041579	8
chr1_h1	4043552	4044273	4043984	12
chr1_h1	4050099	4050985	4050713	8
chr1_h1	4206358	4207408	4206806	9
chr1_h1	4270520	4271255	4270937	4
chr1_h1	4274698	4275606	4274907	8
chr1_h1	4279401	4280322	4279855	11
chr1_h1	4281618	4282615	4282049	16
chr1_h1	4287027	4287986	4287407	13
chr1_h1	4296900	4297696	4297244	14
chr1_h1	4361206	4362128	4361591	20
chr1_h1	4513102	4513605	4513430	11
chr1_h1	4557870	4558681	4558300	37
chr1_h1	4558930	4559842	4559071	14
chr1_h1	4565810	4566721	4566462	12
chr1_h1	4623884	4624290	4623926	9
chr1_h1	4628665	4629342	4628809	8
chr1_h1	4734082	4734932	4734535	24
chr1_h1	4743677	4744347	4744084	12
chr1_h1	4767740	4768630	4768161	13
chr1_h1	4768980	4769783	4769303	13
chr1_h1	4772711	4773624	4772946	67
chr1_h1	4777393	4778309	4777667	18
chr1_h1	4781504	4782501	4782225	45
chr1_h1	4782613	4783539	4782731	52
chr1_h1	4784566	4785553	4784926	40
chr1_h1	4797534	4798415	4798029	32
chr1_h1	4803484	4804413	4803776	54
chr1_h1	4812319	4812975	4812835	20
chr1_h1	4813480	4814393	4813806	45
chr1_h1	4816911	4817833	4817356	27
chr1_h1	4818206	4819557	4818462	61
chr1_h1	4823527	4824212	4823795	36
chr1_h1	4824228	4824964	4824655	37
chr1_h1	4832064	4833064	4832569	28
chr1_h1	4834391	4835291	4834872	52
chr1_h1	4842208	4842990	4842672	16
chr1_h1	4844193	4845111	4844194	49
chr1_h1	4879722	4880820	4880468	16
chr1_h1	4881418	4882307	4882013	19
chr1_h1	4882747	4883454	4882966	11
chr1_h1	4885917	4886609	4886165	7
chr1_h1	4886729	4887425	4887080	11
chr1_h1	4941004	4941927	4941309	19
chr1_h1	4942643	4943411	4942969	16
chr1_h1	4944720	4945595	4945149	26
chr1_h1	4946972	4947650	4947409	23
chr1_h1	4948181	4949045	4948353	39
chr1_h1	4949167	4949801	4949360	37
chr1_h1	4956610	4957518	4957091	38
chr1_h1	4960262	4961143	4960559	20
chr1_h1	5010990	5011803	5011456	16
chr1_h1	5017578	5018388	5018085	39
chr1_h1	5034142	5035028	5034497	8
chr1_h1	5052344	5053190	5052935	13
chr1_h1	5083540	5084574	5083672	12
chr1_h1	5112582	5113487	5113360	9
chr1_h1	5113951	5114864	5114316	7
chr1_h1	5120176	5121113	5120416	17
chr1_h1	5146044	5147351	5146916	17
chr1_h1	5147427	5148293	5147817	16
chr1_h1	5149716	5150570	5149929	17
chr1_h1	5151877	5152634	5152458	16
chr1_h1	5152892	5153620	5153229	16
chr1_h1	5154302	5155291	5155212	16
chr1_h1	5155658	5156542	5155899	13
chr1_h1	5281299	5282188	5281695	13
chr1_h1	5295334	5295955	5295626	116
chr1_h1	5297874	5298765	5298099	9
chr1_h1	5307016	5307713	5307493	16
chr1_h1	5334044	5335035	5334559	9
chr1_h1	5337682	5338570	5338121	12
chr1_h1	5362414	5362716	5362496	8
chr1_h1	5368757	5369609	5369305	30
chr1_h1	5371769	5372672	5372452	10
chr1_h1	5376979	5377890	5377394	24
chr1_h1	5378140	5379120	5378757	12
chr1_h1	5400887	5401888	5401216	11
chr1_h1	5413663	5414664	5414205	9
chr1_h1	5449607	5450461	5450047	9
chr1_h1	5452334	5452786	5452702	10
chr1_h1	5452869	5453499	5453018	9
chr1_h1	5515802	5516643	5516109	10
chr1_h1	5527687	5528565	5527689	38
chr1_h1	5530506	5531367	5530978	73
chr1_h1	5532944	5533831	5533482	28
chr1_h1	5567936	5568822	5568415	27
chr1_h1	5579759	5580779	5580493	8
chr1_h1	5611290	5612126	5611410	9
chr1_h1	5615707	5616633	5615964	9
chr1_h1	5619116	5620010	5619270	7
chr1_h1	5649008	5649880	5649400	14
chr1_h1	5650138	5651105	5650602	11
chr1_h1	5703805	5704879	5704567	11
chr1_h1	5731530	5732544	5731965	9
chr1_h1	5734710	5735519	5735267	14
chr1_h1	5783275	5784041	5783826	9
chr1_h1	5785175	5785951	5785641	25
chr1_h1	5787101	5788016	5787266	13
chr1_h1	5790416	5791256	5790795	36
chr1_h1	5829208	5830115	5829749	10
chr1_h1	5987587	5988383	5987879	9
chr1_h1	6017318	6018224	6017357	7
chr1_h1	6027550	6028432	6028031	40
chr1_h1	6068471	6069331	6068889	8
chr1_h1	6069657	6070575	6070127	10
chr1_h1	6076028	6076928	6076881	24
chr1_h1	6079552	6080318	6080254	14
chr1_h1	6128789	6129638	6129370	133
chr1_h1	6203976	6204794	6204436	6
chr1_h1	6206408	6207382	6206837	14
chr1_h1	6273129	6274108	6273559	37
chr1_h1	6275062	6275974	6275287	9
chr1_h1	6280600	6281373	6281159	10
chr1_h1	6285317	6286027	6285595	5
chr1_h1	6301064	6301959	6301400	9
chr1_h1	6304439	6305341	6304720	8
chr1_h1	6306904	6307647	6307570	8
chr1_h1	6308227	6308875	6308446	17
chr1_h1	6312106	6313144	6313002	13
chr1_h1	6317309	6318201	6317706	10
chr1_h1	6331474	6332220	6332071	9
chr1_h1	6336034	6336903	6336456	21
chr1_h1	6338167	6339094	6338727	11
chr1_h1	6344003	6344890	6344536	14
chr1_h1	6347926	6348816	6348414	6
chr1_h1	6370751	6371736	6371262	21
chr1_h1	6377145	6378031	6377514	12
chr1_h1	6386669	6387526	6387061	13
chr1_h1	6413576	6414456	6413967	14
chr1_h1	6490854	6491657	6491354	29
chr1_h1	6497233	6498100	6497737	107
chr1_h1	6501022	6501847	6501463	21
chr1_h1	6518062	6519040	6518906	9
chr1_h1	6522274	6523082	6522745	13
chr1_h1	6523466	6524323	6524220	17
chr1_h1	6524734	6525677	6524866	15
chr1_h1	6564108	6564913	6564579	24
chr1_h1	6596657	6597550	6597036	12
chr1_h1	6643487	6644235	6643921	9
chr1_h1	6650752	6651663	6651465	21
chr1_h1	6674230	6675032	6674701	14
chr1_h1	6679691	6680842	6680509	14
chr1_h1	6729037	6729907	6729509	9
chr1_h1	6730592	6731439	6730993	7
chr1_h1	6786752	6787769	6787287	16
chr1_h1	6797204	6798084	6797608	97
chr1_h1	6815636	6816575	6815900	17
chr1_h1	6830516	6831412	6830986	41
chr1_h1	6839978	6840977	6840356	27
chr1_h1	6849689	6850562	6850179	12
chr1_h1	6870547	6871421	6871002	12
chr1_h1	6893111	6893936	6893432	12
chr1_h1	6898839	6899546	6899458	9
chr1_h1	6902248	6903140	6902786	5
chr1_h1	6903448	6904636	6904202	20
chr1_h1	6904964	6905749	6905244	19
chr1_h1	6938782	6939801	6939344	22
chr1_h1	6956383	6957198	6957106	14
chr1_h1	6957712	6958527	6958055	43
chr1_h1	6965943	6966905	6966334	12
chr1_h1	6970934	6971878	6971445	11
chr1_h1	6973616	6974535	6974312	9
chr1_h1	6994868	6995625	6995489	7
chr1_h1	6996662	6997568	6997338	14
chr1_h1	6999753	7000624	7000215	20
chr1_h1	7026748	7027732	7027288	67
chr1_h1	7031991	7032558	7032422	8
chr1_h1	7046647	7047505	7047362	13
chr1_h1	7107133	7108027	7107569	127
chr1_h1	7111414	7112330	7111779	16
chr1_h1	7112852	7113655	7112987	9
chr1_h1	7181109	7182048	7181576	16
chr1_h1	7221428	7222251	7221784	14
chr1_h1	7231652	7232556	7232556	60
chr1_h1	7280403	7281033	7280759	26
chr1_h1	7374824	7375728	7375428	15
chr1_h1	7398305	7399055	7398813	21
chr1_h1	7421885	7422721	7422310	51
chr1_h1	7423859	7424868	7424403	18
chr1_h1	7460449	7461183	7460531	10
chr1_h1	7468336	7469225	7468793	101
chr1_h1	7470460	7471347	7470884	67
chr1_h1	7472698	7473754	7473249	17
chr1_h1	7476458	7477298	7477106	9
chr1_h1	7483770	7484653	7483992	9
chr1_h1	7496224	7497124	7496687	108
chr1_h1	7501523	7502439	7501929	35
chr1_h1	7506250	7507186	7506435	11
chr1_h1	7576574	7577421	7577187	16
chr1_h1	7719185	7719990	7719470	79
chr1_h1	7723499	7724474	7723816	18
chr1_h1	7812693	7813619	7813213	15
chr1_h1	7847122	7848199	7847307	7
chr1_h1	7850534	7851260	7850857	7
chr1_h1	7867841	7868679	7868456	106
chr1_h1	7926070	7927208	7926263	20
chr1_h1	7952865	7953725	7953197	24
chr1_h1	7980824	7981825	7981244	70
chr1_h1	7990961	7991844	7991449	55
chr1_h1	8003734	8004572	8003799	10
chr1_h1	8043894	8044714	8044414	11
chr1_h1	8049539	8050419	8049866	124
chr1_h1	8052551	8053375	8053053	115
chr1_h1	8095195	8096180	8095839	19
chr1_h1	8096741	8097627	8097256	15
chr1_h1	8102036	8102875	8102544	12
chr1_h1	8106997	8108086	8107135	11
chr1_h1	8111661	8112246	8111856	14
chr1_h1	8113131	8113972	8113449	9
chr1_h1	8122478	8123331	8122833	9
chr1_h1	8124124	8124963	8124613	131
chr1_h1	8126278	8127082	8126589	64
chr1_h1	8127602	8128510	8127631	56
chr1_h1	8130700	8131593	8131160	17
chr1_h1	8137463	8138346	8137835	73
chr1_h1	8140178	8141075	8140692	53
chr1_h1	8149110	8150024	8149554	20
chr1_h1	8164680	8165322	8165018	18
chr1_h1	8165350	8165957	8165709	11
chr1_h1	8168325	8169158	8168588	11
chr1_h1	8170592	8171474	8171026	9
chr1_h1	8204229	8205172	8204705	124
chr1_h1	8205261	8205957	8205643	41
chr1_h1	8211743	8212646	8212142	5
chr1_h1	8215339	8216191	8215943	9
chr1_h1	8220136	8221089	8220229	8
chr1_h1	8229006	8229930	8229525	7
chr1_h1	8230496	8231292	8230653	17
chr1_h1	8272158	8273148	8272770	8
chr1_h1	8276518	8277381	8277266	20
chr1_h1	8279029	8279924	8279457	14
chr1_h1	8305203	8305866	8305681	14
chr1_h1	8389764	8390685	8389867	11
chr1_h1	8391131	8392031	8391173	9
chr1_h1	8414998	8415964	8415404	10
chr1_h1	8424643	8425478	8425091	12
chr1_h1	8448987	8450006	8449550	11
chr1_h1	8460206	8460881	8460750	9
chr1_h1	8468019	8468976	8468468	30
chr1_h1	8469585	8470435	8469731	10
chr1_h1	8481482	8482446	8481954	8
chr1_h1	8482752	8483528	8483176	8
chr1_h1	8488432	8489447	8489011	15
chr1_h1	8495747	8496675	8496143	18
chr1_h1	8497342	8498202	8497706	9
chr1_h1	8506008	8506856	8506142	9
chr1_h1	8507991	8508868	8508668	10
chr1_h1	8535089	8535988	8535618	22
chr1_h1	8594962	8595955	8595590	14
chr1_h1	8631459	8632382	8632147	15
chr1_h1	8682968	8683911	8683537	16
chr1_h1	8684095	8684833	8684458	8
chr1_h1	8721701	8722577	8722383	9
chr1_h1	8773281	8774331	8773640	11
chr1_h1	8879972	8880978	8880441	13
chr1_h1	8896042	8896839	8896504	6
chr1_h1	9078117	9079274	9078573	18
chr1_h1	9080666	9081260	9081205	6
chr1_h1	9088274	9089051	9088824	8
chr1_h1	9092433	9093398	9092930	14
chr1_h1	9106619	9107524	9107042	14
chr1_h1	9115457	9115908	9115660	7
chr1_h1	9120327	9121304	9120691	36
chr1_h1	9123569	9124407	9123624	26
chr1_h1	9145674	9146262	9145860	11
chr1_h1	9396853	9397763	9397508	21
chr1_h1	9400375	9401299	9400709	16
chr1_h1	9433155	9434017	9433656	19
chr1_h1	9437183	9438216	9437876	11
chr1_h1	9438378	9439277	9438827	16
chr1_h1	9474970	9475948	9475871	10
chr1_h1	9480521	9481598	9481109	18
chr1_h1	9556021	9556471	9556166	10
chr1_h1	9567037	9567815	9567660	10
chr1_h1	9568218	9569222	9568856	43
chr1_h1	9570978	9571995	9571531	40
chr1_h1	9612713	9613622	9613031	33
chr1_h1	9627488	9628434	9628152	8
chr1_h1	9631050	9631958	9631405	10
chr1_h1	9633110	9633952	9633428	65
chr1_h1	9634985	9636001	9635156	39
chr1_h1	9641881	9642997	9641995	25
chr1_h1	9651600	9652420	9651674	10
chr1_h1	9682108	9683042	9682372	13
chr1_h1	9688896	9689772	9689239	9
chr1_h1	9696896	9697799	9697327	16
chr1_h1	9703786	9704360	9704132	5
chr1_h1	9708105	9709011	9708562	120
chr1_h1	9710713	9711656	9711236	8
chr1_h1	9782424	9783312	9782888	59
chr1_h1	9791304	9792132	9791906	10
chr1_h1	9794519	9795397	9795308	38
chr1_h1	9797143	9797936	9797481	9
chr1_h1	9798071	9798990	9798359	15
chr1_h1	9800283	9801041	9800692	11
chr1_h1	9802797	9803816	9803584	11
chr1_h1	9806052	9807102	9806760	20
chr1_h1	9808885	9809777	9809331	15
chr1_h1	9818769	9819694	9819511	14
chr1_h1	9834173	9835158	9834720	19
chr1_h1	9840075	9841031	9840473	14
chr1_h1	9869269	9870065	9869869	19
chr1_h1	9877616	9878443	9877939	58
chr1_h1	9895474	9896701	9896082	7
chr1_h1	9909697	9910769	9910463	9
chr1_h1	9912939	9913843	9913330	7
chr1_h1	9954125	9955280	9954954	12
chr1_h1	10003262	10004165	10003641	13
chr1_h1	10012550	10013460	10012973	11
chr1_h1	10040974	10041793	10041302	35
chr1_h1	10045441	10046426	10045771	11
chr1_h1	10053596	10054544	10054238	32
chr1_h1	10055173	10056096	10055427	14
chr1_h1	10058352	10060371	10058693	12
chr1_h1	10084422	10085351	10084718	17
chr1_h1	10106557	10107445	10106945	16
chr1_h1	10149265	10150194	10149654	15
chr1_h1	10151906	10152828	10152457	12
chr1_h1	10157788	10158690	10158172	23
chr1_h1	10161096	10161965	10161489	25
chr1_h1	10174428	10175342	10174959	170
chr1_h1	10179991	10180974	10180413	105
chr1_h1	10190449	10191283	10190956	11
chr1_h1	10208852	10209714	10209142	93
chr1_h1	10249617	10250513	10250467	13
chr1_h1	10254493	10255371	10254977	8
chr1_h1	10284442	10284738	10284476	6
chr1_h1	10289308	10290216	10289769	26
