Motif	Factor	Evidence	Curated
MA0854.1_Alx1	h1SMcG0006514	Orthologs	N
MA0854.1_Alx1	h1SMcG0012776	Orthologs	N
MA0854.1_Alx1	h1SMcG0011515	Orthologs	N
MA0634.1_ALX3	h1SMcG0020456	Orthologs	N
MA0634.1_ALX3	h1SMcG0016366	Orthologs	N
MA0634.1_ALX3	h1SMcG0006684	Orthologs	N
MA0634.1_ALX3	h1SMcG0008475	Orthologs	N
MA0634.1_ALX3	h1SMcG0015394	Orthologs	N
MA0634.1_ALX3	h1SMcG0022016	Orthologs	N
MA0634.1_ALX3	h1SMcG0007253	Orthologs	N
MA0634.1_ALX3	h1SMcG0000761	Orthologs	N
MA0634.1_ALX3	h1SMcG0002883	Orthologs	N
MA0634.1_ALX3	h1SMcG0022849	Orthologs	N
MA0634.1_ALX3	h1SMcG0003736	Orthologs	N
MA0634.1_ALX3	h1SMcG0006514	Orthologs	N
MA0634.1_ALX3	h1SMcG0012776	Orthologs	N
MA0634.1_ALX3	h1SMcG0011515	Orthologs	N
MA0853.1_Alx4	h1SMcG0020456	Orthologs	N
MA0853.1_Alx4	h1SMcG0016366	Orthologs	N
MA0853.1_Alx4	h1SMcG0006684	Orthologs	N
MA0853.1_Alx4	h1SMcG0008475	Orthologs	N
MA0853.1_Alx4	h1SMcG0015394	Orthologs	N
MA0853.1_Alx4	h1SMcG0022016	Orthologs	N
MA0853.1_Alx4	h1SMcG0007253	Orthologs	N
MA0853.1_Alx4	h1SMcG0000761	Orthologs	N
MA0853.1_Alx4	h1SMcG0002883	Orthologs	N
MA0853.1_Alx4	h1SMcG0022849	Orthologs	N
MA0853.1_Alx4	h1SMcG0003736	Orthologs	N
MA0853.1_Alx4	h1SMcG0006514	Orthologs	N
MA0853.1_Alx4	h1SMcG0012776	Orthologs	N
MA0853.1_Alx4	h1SMcG0011515	Orthologs	N
MA1663.1_ANAC050	NO ORTHOLOGS FOUND	Orthologs	N
MA1660.1_ANAC13	NO ORTHOLOGS FOUND	Orthologs	N
MA1375.1_ANL2	NO ORTHOLOGS FOUND	Orthologs	N
MA0571.1_ANT	NO ORTHOLOGS FOUND	Orthologs	N
MA0166.1_Antp	h1SMcG0010623	Orthologs	N
MA0166.1_Antp	h1SMcG0020634	Orthologs	N
MA0166.1_Antp	h1SMcG0020740	Orthologs	N
MA0166.1_Antp	h1SMcG0008401	Orthologs	N
MA0166.1_Antp	h1SMcG0015572	Orthologs	N
MA0166.1_Antp	h1SMcG0009835	Orthologs	N
MA0166.1_Antp	h1SMcG0016884	Orthologs	N
MA0166.1_Antp	h1SMcG0013909	Orthologs	N
MA0166.1_Antp	h1SMcG0022062	Orthologs	N
MA0166.1_Antp	h1SMcG0000941	Orthologs	N
MA0166.1_Antp	h1SMcG0007216	Orthologs	N
MA0166.1_Antp	h1SMcG0018976	Orthologs	N
MA0166.1_Antp	h1SMcG0003960	Orthologs	N
MA0166.1_Antp	h1SMcG0006671	Orthologs	N
MA0166.1_Antp	h1SMcG0022072	Orthologs	N
MA0166.1_Antp	h1SMcG0006497	Orthologs	N
MA0166.1_Antp	h1SMcG0012941	Orthologs	N
MA0166.1_Antp	h1SMcG0003861	Orthologs	N
MA0166.1_Antp	h1SMcG0021059	Orthologs	N
MA0166.1_Antp	h1SMcG0006855	Orthologs	N
MA0166.1_Antp	h1SMcG0011535	Orthologs	N
MA0166.1_Antp	h1SMcG0019014	Orthologs	N
MA0166.1_Antp	h1SMcG0000548	Orthologs	N
MA0166.1_Antp	h1SMcG0021271	Orthologs	N
MA0166.1_Antp	h1SMcG0001296	Orthologs	N
MA0166.1_Antp	h1SMcG0000012	Orthologs	N
MA0166.1_Antp	h1SMcG0004569	Orthologs	N
MA0166.1_Antp	h1SMcG0008090	Orthologs	N
MA0166.1_Antp	h1SMcG0009117	Orthologs	N
MA0166.1_Antp	h1SMcG0011765	Orthologs	N
MA0166.1_Antp	h1SMcG0007041	Orthologs	N
MA0166.1_Antp	NO ORTHOLOGS FOUND	Orthologs	N
MA0166.1_Antp	h1SMcG0002721	Orthologs	N
MA0166.1_Antp	h1SMcG0009116	Orthologs	N
MA0209.1_ap	NO ORTHOLOGS FOUND	Orthologs	N
MA0209.1_ap	h1SMcG0021916	Orthologs	N
MA0209.1_ap	h1SMcG0016956	Orthologs	N
MA0209.1_ap	h1SMcG0006465	Orthologs	N
MA0940.1_AP1	h1SMcG0008373	Orthologs	N
MA0556.1_AP3	NO ORTHOLOGS FOUND	Orthologs	N
MA0007.3_Ar	NO ORTHOLOGS FOUND	Orthologs	N
MA0210.1_ara	NO ORTHOLOGS FOUND	Orthologs	N
MA0210.1_ara	h1SMcG0009963	Orthologs	N
MA0210.1_ara	h1SMcG0020478	Orthologs	N
MA0210.1_ara	h1SMcG0019275	Orthologs	N
MA0210.1_ara	h1SMcG0006261	Orthologs	N
MA0210.1_ara	h1SMcG0012283	Orthologs	N
MA0210.1_ara	h1SMcG0003032	Orthologs	N
MA0210.1_ara	h1SMcG0007411	Orthologs	N
MA0210.1_ara	h1SMcG0000282	Orthologs	N
MA0210.1_ara	h1SMcG0012074	Orthologs	N
MA0210.1_ara	h1SMcG0008308	Orthologs	N
MA0210.1_ara	h1SMcG0000287	Orthologs	N
MA0210.1_ara	h1SMcG0015283	Orthologs	N
MA0210.1_ara	h1SMcG0013875	Orthologs	N
MA0210.1_ara	h1SMcG0021168	Orthologs	N
MA1098.1_ARALYDRAFT_484486	NO ORTHOLOGS FOUND	Orthologs	N
MA1097.1_ARALYDRAFT_493022	NO ORTHOLOGS FOUND	Orthologs	N
MA1095.1_ARALYDRAFT_495258	NO ORTHOLOGS FOUND	Orthologs	N
MA1096.1_ARALYDRAFT_496250	NO ORTHOLOGS FOUND	Orthologs	N
MA1054.1_ARALYDRAFT_897773	NO ORTHOLOGS FOUND	Orthologs	N
MA1338.1_AREB3	NO ORTHOLOGS FOUND	Orthologs	N
MA0942.1_ARF1	NO ORTHOLOGS FOUND	Orthologs	N
MA1685.1_ARF10	NO ORTHOLOGS FOUND	Orthologs	N
MA1686.1_ARF13	NO ORTHOLOGS FOUND	Orthologs	N
MA1687.1_ARF14	NO ORTHOLOGS FOUND	Orthologs	N
MA1688.1_ARF16	NO ORTHOLOGS FOUND	Orthologs	N
MA1689.1_ARF18	NO ORTHOLOGS FOUND	Orthologs	N
MA1206.1_ARF2	NO ORTHOLOGS FOUND	Orthologs	N
MA1690.1_ARF25	NO ORTHOLOGS FOUND	Orthologs	N
MA1691.1_ARF27	NO ORTHOLOGS FOUND	Orthologs	N
MA1692.1_ARF29	NO ORTHOLOGS FOUND	Orthologs	N
MA1009.1_ARF3	NO ORTHOLOGS FOUND	Orthologs	N
MA1693.1_ARF34	NO ORTHOLOGS FOUND	Orthologs	N
MA1694.1_ARF35	NO ORTHOLOGS FOUND	Orthologs	N
MA1695.1_ARF36	NO ORTHOLOGS FOUND	Orthologs	N
MA1696.1_ARF39	NO ORTHOLOGS FOUND	Orthologs	N
MA1697.1_ARF4	NO ORTHOLOGS FOUND	Orthologs	N
MA0943.1_ARF5	NO ORTHOLOGS FOUND	Orthologs	N
MA1698.1_ARF7	NO ORTHOLOGS FOUND	Orthologs	N
MA0944.1_ARF8	NO ORTHOLOGS FOUND	Orthologs	N
MA0271.1_ARG80	NO ORTHOLOGS FOUND	Orthologs	N
MA0272.1_ARG81	NO ORTHOLOGS FOUND	Orthologs	N
MA1463.1_ARGFX	NO ORTHOLOGS FOUND	Orthologs	N
MA0151.1_Arid3a	h1SMcG0003882	Orthologs	N
MA0151.1_Arid3a	NO ORTHOLOGS FOUND	Orthologs	N
MA0601.1_Arid3b	h1SMcG0003882	Orthologs	N
MA0601.1_Arid3b	NO ORTHOLOGS FOUND	Orthologs	N
MA0602.1_Arid5a	NO ORTHOLOGS FOUND	Orthologs	N
MA0004.1_Arnt	h1SMcG0020191	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0023005	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0004307	Orthologs	N
MA0259.1_ARNT::HIF1A	h1SMcG0020191	Orthologs	N
MA1464.1_ARNT2	h1SMcG0020191	Orthologs	N
MA0603.1_Arntl	h1SMcG0020191	Orthologs	N
MA0273.1_ARO80	NO ORTHOLOGS FOUND	Orthologs	N
MA0274.1_ARR1	NO ORTHOLOGS FOUND	Orthologs	N
MA0945.1_ARR1	NO ORTHOLOGS FOUND	Orthologs	N
MA0121.1_ARR10	NO ORTHOLOGS FOUND	Orthologs	N
MA0946.1_ARR11	NO ORTHOLOGS FOUND	Orthologs	N
MA0947.1_ARR14	NO ORTHOLOGS FOUND	Orthologs	N
MA0948.1_ARR18	NO ORTHOLOGS FOUND	Orthologs	N
MA0949.1_ARR2	NO ORTHOLOGS FOUND	Orthologs	N
MA0874.1_Arx	h1SMcG0020456	Orthologs	N
MA0874.1_Arx	h1SMcG0016366	Orthologs	N
MA0874.1_Arx	h1SMcG0006684	Orthologs	N
MA0874.1_Arx	h1SMcG0008475	Orthologs	N
MA0874.1_Arx	h1SMcG0015394	Orthologs	N
MA0874.1_Arx	h1SMcG0022016	Orthologs	N
MA0874.1_Arx	h1SMcG0007253	Orthologs	N
MA0874.1_Arx	h1SMcG0000761	Orthologs	N
MA0874.1_Arx	h1SMcG0002883	Orthologs	N
MA0874.1_Arx	h1SMcG0022849	Orthologs	N
MA0874.1_Arx	h1SMcG0003736	Orthologs	N
MA0874.1_Arx	h1SMcG0006514	Orthologs	N
MA0874.1_Arx	h1SMcG0012776	Orthologs	N
MA0874.1_Arx	h1SMcG0011515	Orthologs	N
MA1100.2_ASCL1	h1SMcG0018604	Orthologs	N
MA1100.2_ASCL1	h1SMcG0004451	Orthologs	N
MA1100.2_ASCL1	h1SMcG0007018	Orthologs	N
MA1100.2_ASCL1	h1SMcG0022832	Orthologs	N
MA1100.2_ASCL1	h1SMnG0012616	Orthologs	N
MA1100.2_ASCL1	h1SMcG0021180	Orthologs	N
MA1100.2_ASCL1	h1SMcG0018400	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001162	Orthologs	N
MA1100.2_ASCL1	h1SMcG0008214	Orthologs	N
MA1100.2_ASCL1	h1SMcG0009326	Orthologs	N
MA1100.2_ASCL1	h1SMcG0002524	Orthologs	N
MA1100.2_ASCL1	h1SMnG0030649	Orthologs	N
MA1100.2_ASCL1	h1SMcG0019258	Orthologs	N
MA1100.2_ASCL1	h1SMcG0016534	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001060	Orthologs	N
MA1100.2_ASCL1	h1SMcG0001334	Orthologs	N
MA1100.2_ASCL1	h1SMcG0021898	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0018604	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0004451	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0007018	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0022832	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMnG0012616	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0021180	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0018400	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001162	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0008214	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0009326	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0002524	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMnG0030649	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0019258	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0016534	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001060	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0001334	Orthologs	N
MA1631.1_ASCL1(var.2)	h1SMcG0021898	Orthologs	N
MA0816.1_Ascl2	h1SMcG0018604	Orthologs	N
MA0816.1_Ascl2	h1SMcG0004451	Orthologs	N
MA0816.1_Ascl2	h1SMcG0007018	Orthologs	N
MA0816.1_Ascl2	h1SMcG0022832	Orthologs	N
MA0816.1_Ascl2	h1SMnG0012616	Orthologs	N
MA0816.1_Ascl2	h1SMcG0021180	Orthologs	N
MA0816.1_Ascl2	h1SMcG0018400	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001162	Orthologs	N
MA0816.1_Ascl2	h1SMcG0008214	Orthologs	N
MA0816.1_Ascl2	h1SMcG0009326	Orthologs	N
MA0816.1_Ascl2	h1SMcG0002524	Orthologs	N
MA0816.1_Ascl2	h1SMnG0030649	Orthologs	N
MA0816.1_Ascl2	h1SMcG0019258	Orthologs	N
MA0816.1_Ascl2	h1SMcG0016534	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001060	Orthologs	N
MA0816.1_Ascl2	h1SMcG0001334	Orthologs	N
MA0816.1_Ascl2	h1SMcG0021898	Orthologs	N
MA0275.1_ASG1	NO ORTHOLOGS FOUND	Orthologs	N
MA0276.1_ASH1	NO ORTHOLOGS FOUND	Orthologs	N
MA1661.1_AT-GTL1	NO ORTHOLOGS FOUND	Orthologs	N
MA1259.1_AT1G01250	NO ORTHOLOGS FOUND	Orthologs	N
MA1387.1_AT1G13300	NO ORTHOLOGS FOUND	Orthologs	N
MA1160.1_AT1G14580	NO ORTHOLOGS FOUND	Orthologs	N
MA1400.1_At1g19000	NO ORTHOLOGS FOUND	Orthologs	N
MA1255.1_AT1G22810	NO ORTHOLOGS FOUND	Orthologs	N
MA1263.1_AT1G36060	NO ORTHOLOGS FOUND	Orthologs	N
MA1222.1_AT1G44830	NO ORTHOLOGS FOUND	Orthologs	N
MA1275.1_AT1G47655	NO ORTHOLOGS FOUND	Orthologs	N
MA1186.1_At1g49010	NO ORTHOLOGS FOUND	Orthologs	N
MA1268.1_AT1G69570	NO ORTHOLOGS FOUND	Orthologs	N
MA1288.1_At1g72010	NO ORTHOLOGS FOUND	Orthologs	N
MA1353.1_AT1G72740	NO ORTHOLOGS FOUND	Orthologs	N
MA1397.1_At1g74840	NO ORTHOLOGS FOUND	Orthologs	N
MA1250.1_AT1G75490	NO ORTHOLOGS FOUND	Orthologs	N
MA1367.1_AT1G76870	NO ORTHOLOGS FOUND	Orthologs	N
MA1366.1_AT1G76880	NO ORTHOLOGS FOUND	Orthologs	N
MA1260.1_AT1G77640	NO ORTHOLOGS FOUND	Orthologs	N
MA1272.1_AT2G28810	NO ORTHOLOGS FOUND	Orthologs	N
MA1245.2_AT2G33710	NO ORTHOLOGS FOUND	Orthologs	N
MA1193.1_At2g38090	NO ORTHOLOGS FOUND	Orthologs	N
MA1385.1_AT2G40260	NO ORTHOLOGS FOUND	Orthologs	N
MA1229.1_AT2G44940	NO ORTHOLOGS FOUND	Orthologs	N
MA1285.1_At2g45680	NO ORTHOLOGS FOUND	Orthologs	N
MA1182.1_At3g09600	NO ORTHOLOGS FOUND	Orthologs	N
MA1662.1_AT3G10030	NO ORTHOLOGS FOUND	Orthologs	N
MA1191.1_AT3G10113	NO ORTHOLOGS FOUND	Orthologs	N
MA1194.1_AT3G10580	NO ORTHOLOGS FOUND	Orthologs	N
MA1188.1_At3g11280	NO ORTHOLOGS FOUND	Orthologs	N
MA1253.1_AT3G16280	NO ORTHOLOGS FOUND	Orthologs	N
MA1388.1_AT3G24120	NO ORTHOLOGS FOUND	Orthologs	N
MA1270.1_AT3G45610	NO ORTHOLOGS FOUND	Orthologs	N
MA1381.1_AT3G46070	NO ORTHOLOGS FOUND	Orthologs	N
MA1276.1_AT3G52440	NO ORTHOLOGS FOUND	Orthologs	N
MA1242.1_AT3G57600	NO ORTHOLOGS FOUND	Orthologs	N
MA1354.1_AT4G12670	NO ORTHOLOGS FOUND	Orthologs	N
MA1237.1_AT4G16750	NO ORTHOLOGS FOUND	Orthologs	N
MA1228.1_AT4G18450	NO ORTHOLOGS FOUND	Orthologs	N
MA1232.1_AT4G28140	NO ORTHOLOGS FOUND	Orthologs	N
MA1241.1_AT4G32800	NO ORTHOLOGS FOUND	Orthologs	N
MA1281.1_AT5G02460	NO ORTHOLOGS FOUND	Orthologs	N
MA1196.1_At5g05790	NO ORTHOLOGS FOUND	Orthologs	N
MA1399.1_At5g08520	NO ORTHOLOGS FOUND	Orthologs	N
MA1226.1_AT5G18450	NO ORTHOLOGS FOUND	Orthologs	N
MA1365.2_AT5G47660	NO ORTHOLOGS FOUND	Orthologs	N
MA1195.1_AT5G56840	NO ORTHOLOGS FOUND	Orthologs	N
MA1192.1_At5g58900	NO ORTHOLOGS FOUND	Orthologs	N
MA1189.1_AT5G61620	NO ORTHOLOGS FOUND	Orthologs	N
MA1267.1_AT5G66940	NO ORTHOLOGS FOUND	Orthologs	N
MA1261.1_AT5G67000	NO ORTHOLOGS FOUND	Orthologs	N
MA1438.1_atf-7	NO ORTHOLOGS FOUND	Orthologs	N
MA0604.1_Atf1	h1SMcG0006635	Orthologs	N
MA1632.1_ATF2	NO ORTHOLOGS FOUND	Orthologs	N
MA0605.2_ATF3	NO ORTHOLOGS FOUND	Orthologs	N
MA0833.2_ATF4	NO ORTHOLOGS FOUND	Orthologs	N
MA1466.1_ATF6	h1SMcG0008408	Orthologs	N
MA0834.1_ATF7	NO ORTHOLOGS FOUND	Orthologs	N
MA0950.1_ATHB-12	NO ORTHOLOGS FOUND	Orthologs	N
MA0951.1_ATHB-16	NO ORTHOLOGS FOUND	Orthologs	N
MA0110.3_ATHB-5	NO ORTHOLOGS FOUND	Orthologs	N
MA0952.1_ATHB-51	NO ORTHOLOGS FOUND	Orthologs	N
MA0953.1_ATHB-6	NO ORTHOLOGS FOUND	Orthologs	N
MA0573.1_ATHB-9	NO ORTHOLOGS FOUND	Orthologs	N
MA1212.1_ATHB13	NO ORTHOLOGS FOUND	Orthologs	N
MA1026.2_ATHB15	NO ORTHOLOGS FOUND	Orthologs	N
MA1211.1_ATHB18	NO ORTHOLOGS FOUND	Orthologs	N
MA1209.1_ATHB20	NO ORTHOLOGS FOUND	Orthologs	N
MA1327.2_ATHB23	NO ORTHOLOGS FOUND	Orthologs	N
MA1328.1_ATHB34	NO ORTHOLOGS FOUND	Orthologs	N
MA1406.1_ATHB4	NO ORTHOLOGS FOUND	Orthologs	N
MA1214.1_ATHB40	NO ORTHOLOGS FOUND	Orthologs	N
MA1215.1_ATHB53	NO ORTHOLOGS FOUND	Orthologs	N
MA0954.2_ATHB7	NO ORTHOLOGS FOUND	Orthologs	N
MA0461.2_Atoh1	NO ORTHOLOGS FOUND	Orthologs	N
MA1467.1_ATOH1(var.2)	NO ORTHOLOGS FOUND	Orthologs	N
MA1468.1_ATOH7	h1SMcG0018604	Orthologs	N
MA1468.1_ATOH7	h1SMcG0004451	Orthologs	N
MA1468.1_ATOH7	h1SMcG0007018	Orthologs	N
MA1468.1_ATOH7	h1SMcG0022832	Orthologs	N
MA1468.1_ATOH7	h1SMnG0012616	Orthologs	N
MA1468.1_ATOH7	h1SMcG0021180	Orthologs	N
MA1468.1_ATOH7	h1SMcG0018400	Orthologs	N
MA1468.1_ATOH7	h1SMcG0001162	Orthologs	N
MA1468.1_ATOH7	h1SMcG0008214	Orthologs	N
MA1468.1_ATOH7	h1SMcG0009326	Orthologs	N
MA1468.1_ATOH7	h1SMcG0002524	Orthologs	N
MA1468.1_ATOH7	h1SMnG0030649	Orthologs	N
MA1468.1_ATOH7	h1SMcG0019258	Orthologs	N
MA1468.1_ATOH7	h1SMcG0016534	Orthologs	N
MA1468.1_ATOH7	h1SMcG0001060	Orthologs	N
MA1468.1_ATOH7	h1SMcG0001334	Orthologs	N
MA1468.1_ATOH7	h1SMcG0021898	Orthologs	N
MA0169.1_B-H2	NO ORTHOLOGS FOUND	Orthologs	N
MA1633.1_BACH1	NO ORTHOLOGS FOUND	Orthologs	N
MA0591.1_Bach1::Mafk	h1SMcG0012645	Orthologs	N
MA1101.2_BACH2	NO ORTHOLOGS FOUND	Orthologs	N
MA1470.1_BACH2(var.2)	NO ORTHOLOGS FOUND	Orthologs	N
MA0211.1_bap	NO ORTHOLOGS FOUND	Orthologs	N
MA0877.2_BARHL1	h1SMcG0010623	Orthologs	N
MA0877.2_BARHL1	h1SMcG0020634	Orthologs	N
MA0877.2_BARHL1	h1SMcG0020740	Orthologs	N
MA0877.2_BARHL1	h1SMcG0008401	Orthologs	N
MA0877.2_BARHL1	h1SMcG0015572	Orthologs	N
MA0877.2_BARHL1	h1SMcG0009835	Orthologs	N
MA0877.2_BARHL1	h1SMcG0016884	Orthologs	N
MA0877.2_BARHL1	h1SMcG0013909	Orthologs	N
MA0877.2_BARHL1	h1SMcG0022062	Orthologs	N
MA0877.2_BARHL1	h1SMcG0000941	Orthologs	N
MA0877.2_BARHL1	h1SMcG0007216	Orthologs	N
MA0877.2_BARHL1	h1SMcG0018976	Orthologs	N
MA0877.2_BARHL1	h1SMcG0003960	Orthologs	N
MA0877.2_BARHL1	h1SMcG0006671	Orthologs	N
MA0877.2_BARHL1	h1SMcG0022072	Orthologs	N
MA0877.2_BARHL1	h1SMcG0006497	Orthologs	N
MA0877.2_BARHL1	h1SMcG0012941	Orthologs	N
MA0877.2_BARHL1	h1SMcG0003861	Orthologs	N
MA0877.2_BARHL1	h1SMcG0021059	Orthologs	N
MA0877.2_BARHL1	h1SMcG0006855	Orthologs	N
MA0877.2_BARHL1	h1SMcG0011535	Orthologs	N
MA0877.2_BARHL1	h1SMcG0019014	Orthologs	N
MA0877.2_BARHL1	h1SMcG0000548	Orthologs	N
MA0877.2_BARHL1	h1SMcG0021271	Orthologs	N
MA0877.2_BARHL1	h1SMcG0001296	Orthologs	N
MA0877.2_BARHL1	h1SMcG0000012	Orthologs	N
MA0877.2_BARHL1	h1SMcG0004569	Orthologs	N
MA0877.2_BARHL1	h1SMcG0008090	Orthologs	N
MA0877.2_BARHL1	h1SMcG0009117	Orthologs	N
MA0877.2_BARHL1	h1SMcG0011765	Orthologs	N
MA0877.2_BARHL1	h1SMcG0007041	Orthologs	N
MA0877.2_BARHL1	NO ORTHOLOGS FOUND	Orthologs	N
MA0877.2_BARHL1	h1SMcG0002721	Orthologs	N
MA0877.2_BARHL1	h1SMcG0009116	Orthologs	N
MA0635.1_BARHL2	h1SMcG0010623	Orthologs	N
MA0635.1_BARHL2	h1SMcG0020634	Orthologs	N
MA0635.1_BARHL2	h1SMcG0020740	Orthologs	N
MA0635.1_BARHL2	h1SMcG0008401	Orthologs	N
MA0635.1_BARHL2	h1SMcG0015572	Orthologs	N
MA0635.1_BARHL2	h1SMcG0009835	Orthologs	N
MA0635.1_BARHL2	h1SMcG0016884	Orthologs	N
MA0635.1_BARHL2	h1SMcG0013909	Orthologs	N
